X,Y,OBJECTID,BLOCK_NAME,ZIP_CODE,YEAR,COMMENTS,DATA_SOURCE
-75.0788708121357,40.0122894989881,1232,4600 Block of DITMAN ST,19124,2018,,2018 Playstreets Program
-75.1161690674761,39.9980845570417,1233,700 Block of E WILLARD ST,19134,2018,,2018 Playstreets Program
-75.1162407803007,39.9977319293099,1234,700 Block of E MADISON ST,19134,2018,,2018 Playstreets Program
-75.113922860944,39.9986573566767,1235,800 Block of E CORNWALL ST,19134,2018,,2018 Playstreets Program
-75.1122608624269,39.9987530744085,1236,3300 Block of RAND ST,19134,2018,,2018 Playstreets Program
-75.1134854804036,40.0006691735959,1237,800 Block of E SCHILLER ST,19134,2018,,2018 Playstreets Program
-75.1114309509268,40.0004032622279,1238,900 Block of E SCHILLER ST,19134,2018,,2018 Playstreets Program
-75.1098166734837,39.9974471953797,1239,1800 Block of E CORNWALL ST,19134,2018,,2018 Playstreets Program
-75.1069675848357,39.9989677178051,1240,1800 Block of E SCHILLER ST,19134,2018,,2018 Playstreets Program
-75.1076442529587,39.9968754822133,1241,1900 Block of E THAYER ST,19134,2018,,2018 Playstreets Program
-75.1037132784085,39.9989246511246,1242,1900 Block of E ATLANTIC ST,19134,2018,,2018 Playstreets Program
-75.1059155855959,39.9977770971195,1243,3400 Block of HELEN ST,19134,2018,,2018 Playstreets Program
-75.1032625847114,39.9975339815498,1244,3500 Block of JOYCE ST,19134,2018,,2018 Playstreets Program
-75.0792644373635,40.0204891942494,1245,1600 Block of HAWORTH ST,19124,2018,,2018 Playstreets Program
-75.076466190047,40.0201857415622,1246,5100 Block of DUFFIELD ST,19124,2018,,2018 Playstreets Program
-75.0649279731811,40.0155114687085,1247,2000 Block of CARVER ST,19124,2018,,2018 Playstreets Program
-75.1016327611411,40.0066098578469,1248,3800 Block of GLENDALE ST,19124,2018,,2018 Playstreets Program
-75.0861190047693,40.0080655167049,1249,1900 Block of BRIGGS ST,19124,2018,,2018 Playstreets Program
-75.0873290221972,40.008629596941,1250,4200 Block of ORCHARD ST,19124,2018,,2018 Playstreets Program
-75.0918850954461,40.0096243326718,1251,4200 Block of GRISCOM ST,19124,2018,,2018 Playstreets Program
-75.0745250178046,40.015802517448,1252,1900 Block of WAKELING ST,19124,2018,,2018 Playstreets Program
-75.1454987260156,39.9982523896046,1253,3000 Block of N PERCY ST,19133,2018,,2018 Playstreets Program
-75.1413492559112,39.9980949231199,1254,600 Block of W MAYFIELD ST,19133,2018,,2018 Playstreets Program
-75.1412749787775,40.00557488851,1255,700 Block of W ATLANTIC ST,19140,2018,,2018 Playstreets Program
-75.1480018570479,39.987856775666,1256,900 Block of W ARIZONA ST,19133,2018,,2018 Playstreets Program
-75.1507555839153,39.9910571631905,1257,2500 Block of N SARTAIN ST,19133,2018,,2018 Playstreets Program
-75.2278349375165,39.9210670640131,1258,6400 Block of GARMAN ST,19142,2018,,2018 Playstreets Program
-75.1429776299338,39.999507073539,1259,3100 Block of N FRANKLIN ST,19133,2018,,2018 Playstreets Program
-75.2280808872801,39.9252662003047,1260,6200 Block of WHEELER ST,19142,2018,,2018 Playstreets Program
-75.2237335488879,39.9258074125909,1261,2500 Block of S MILLICK ST,19142,2018,,2018 Playstreets Program
-75.1518621268712,39.9923841795352,1262,1200 Block of W HAROLD ST,19133,2018,,2018 Playstreets Program
-75.1514381402515,40.0001672546311,1263,1300 Block of W CLEMENTINE ST,19132,2018,,2018 Playstreets Program
-75.2307969911696,39.9314587187602,1264,6000 Block of REINHARD ST,19142,2018,,2018 Playstreets Program
-75.120668512832,39.9980328460457,1265,500 Block of E HILTON ST,19134,2018,,2018 Playstreets Program
-75.1316389867912,39.9947443175333,1266,2900 Block of WATERLOO ST,19133,2018,,2018 Playstreets Program
-75.1320913308972,39.9949095446121,1267,2900 Block of MASCHER ST,19133,2018,,2018 Playstreets Program
-75.152273142658,39.9963367840221,1268,1300 Block of W WILLIAM ST,19132,2018,,2018 Playstreets Program
-75.2298202575699,39.9357661228196,1269,5800 Block of TRINITY ST,19143,2018,,2018 Playstreets Program
-75.1328534804713,39.9935434432613,1270,2800 Block of MUTTER ST,19133,2018,,2018 Playstreets Program
-75.1338362336622,39.9936751659891,1271,2800 Block of PALETHORP ST,19133,2018,,2018 Playstreets Program
-75.1309414794647,39.9932967529826,1272,2800 Block of HOPE ST,19133,2018,,2018 Playstreets Program
-75.148288946872,39.9943211861217,1273,2700 Block of N WARNOCK ST,19133,2018,,2018 Playstreets Program
-75.1495158059422,40.0019075448278,1274,1100 Block of W HILTON ST,19140,2018,,2018 Playstreets Program
