X,Y,OBJECTID,PARK_NAME,AGE_RANGE,DATE_INSTALLED,COMMENTS,DATA_SOURCE
-74.9893219099009,40.0952011771668,52,Michael Palmer Playground,5_12_YEARS,2018/01/01 00:00:00+00, ,Nearmap 2023
-75.1963279367064,39.9640191843914,53,37th and Mount Vernon Playground,5_12_YEARS,2016/10/26 00:00:00+00, ,Nearmap 2023
-75.137034956803,40.0384475857691,54,A Albert Cherashore Playground,5_12_YEARS,, ,Nearmap 2023
-75.164349946428,39.9331664850538,55,Columbus Square,5_12_YEARS,, ,Nearmap 2023
-74.9976693079096,40.0589268996067,56,Torresdale Recreation Center,5_12_YEARS,2019/01/01 00:00:00+00, ,Nearmap 2023
-75.0971852274094,40.0127562953595,57,Boniface Piccoli Playground,5_12_YEARS,2017/01/01 00:00:00+00, ,Nearmap 2023
-74.9915630824383,40.0680625948836,58,Thomas Mitchell Playground,5_12_YEARS,2022/06/01 00:00:00+00, ,Nearmap 2023
-75.1432440424009,39.9627603903833,59,Northern Liberties Recreation Center,2_5_YEARS,, ,Nearmap 2023
-75.2320260992519,39.9152173603464,60,J Francis Finnegan Playground,5_12_YEARS,2017/01/01 00:00:00+00,Next to Recreation Center,Nearmap 2023
-75.0803261275796,40.0138934115899,61,Wilmot Park,UNKNOWN,, ,Nearmap 2023
-75.2225773889606,39.9671090384164,62,West Mill Creek Playground,5_12_YEARS,2014/01/01 00:00:00+00, ,Nearmap 2023
-75.1743704249508,40.0394237013983,63,Morton Playground,5_12_YEARS,, ,Nearmap 2023
-75.0508218346138,40.0618281422985,64,George C Pelbano Playground,5_12_YEARS,,No Signage. No Fence.,Nearmap 2023
-75.1452397660437,39.9653500688578,65,Lawrence Street Playground,UNKNOWN,, ,Nearmap 2023
-75.1770516242811,40.0361329150859,66,Vernon Park,5_12_YEARS,, ,Nearmap 2023
-75.1328256106253,39.9888738504964,67,Waterloo Playground,5_12_YEARS,2021/10/01 00:00:00+00,"2021 Renovation, moved to this location.",Nearmap 2023
-75.1479239082026,39.9441770243681,68,Delancey Park,5_12_YEARS,, ,Nearmap 2023
-75.1281113247448,39.9665746473436,69,Penn Treaty Park,2_12_YEARS,2016/01/01 00:00:00+00, ,Nearmap 2023
-75.1303049466236,39.9998002448287,70,Jose Manuel Collazo Park,5_12_YEARS,2017/07/01 00:00:00+00, ,Nearmap 2023
-75.1417067656558,39.9868800728599,71,Rainbow De Colores Playground,UNKNOWN,, ,Nearmap 2023
-75.106799684213,39.9991942251292,72,Harrowgate Park,UNKNOWN,, ,Nearmap 2023
-75.1351421016366,39.9781591100109,73,Michael J Towey Playground,5_12_YEARS,, ,Nearmap 2023
-75.1562263819556,39.9193243621317,74,Mifflin Square,5_12_YEARS,, ,Nearmap 2023
-75.2132698645828,40.0216528257376,75,Wissahickon Neighbors Playground,UNKNOWN,, ,Nearmap 2023
-75.1218804311981,40.0006092140506,76,Sergeant John J McVeigh Recreation Center,5_12_YEARS,, ,Nearmap 2023
