objectid,park_name,site_number,table_count,permittable,comments,data_source,lat,lng
91,West Fairmount Park,1,3,Y,West Fairmount Park-S of Belmont & Edgley Cricket Fields,Nearmap 2023,39.99434287249799,-75.21401052792629
92,Chamounix Tennis Courts,0,2,Y,Chamounix Tennis Courts Pavilion,Nearmap 2023,39.99926218603915,-75.20223038439131
93,West Fairmount Park,1,5,Y,West Fairmount Park-North Georges Hill Picnic Pavilion,Nearmap 2023,39.98707619649391,-75.22286509171934
94,West Fairmount Park,2,3,Y,West Fairmount Park-North Georges Hill Picnic Pavilion Area,Nearmap 2023,39.98666213239298,-75.22297878624086
95,West Fairmount Park,4,1,N,North to Tugboat House at Belmont Landing,Nearmap 2023,39.98215030129358,-75.20526421707967
96,West Fairmount Park,0,1,N,N of Boelson Cottage,Nearmap 2023,39.991312426627815,-75.20003038766961
97,West Fairmount Park,0,1,N,N of Boelson Cottage,Nearmap 2023,39.990773903007394,-75.20067294624171
1,Belmont Grove,1,10,Y,West Fairmount Park- Belmont Grove Picnic Pavilion,Nearmap 2023,39.99252806272725,-75.21500343723882
2,Franklin Delano Roosevelt Park,7,3,Y, ,Nearmap 2023,39.9034494458027,-75.18316312043147
3,Franklin Delano Roosevelt Park,8,3,Y, ,Nearmap 2023,39.902252905522595,-75.1836174781935
4,Franklin Delano Roosevelt Park,9,3,Y, ,Nearmap 2023,39.901883930510195,-75.18360769117928
5,Franklin Delano Roosevelt Park,10,3,Y, ,Nearmap 2023,39.90126209555581,-75.18264723027977
6,Franklin Delano Roosevelt Park,11,3,Y, ,Nearmap 2023,39.90134512223414,-75.18215939199408
7,Franklin Delano Roosevelt Park,12,3,Y, ,Nearmap 2023,39.90161559732148,-75.18102183724226
8,Franklin Delano Roosevelt Park,13,3,Y,Non-fixed tables,Nearmap 2023,39.899627185220126,-75.17875169121585
9,Franklin Delano Roosevelt Park,14,3,Y,Non-fixed tables,Nearmap 2023,39.89977729241938,-75.17846629339316
10,Franklin Delano Roosevelt Park,20,3,N, ,Nearmap 2023,39.90175299526535,-75.17629086626853
11,Franklin Delano Roosevelt Park,18,3,Y, ,Nearmap 2023,39.90131881434162,-75.17628248978124
12,Franklin Delano Roosevelt Park,19,3,Y, ,Nearmap 2023,39.9013759019535,-75.17718573783156
13,Franklin Delano Roosevelt Park,15,3,Y,Non-fixed tables,Nearmap 2023,39.899846879571164,-75.17798752444237
14,Franklin Delano Roosevelt Park,16,3,Y,Non-fixed tables,Nearmap 2023,39.89992790846095,-75.17763887568746
15,Franklin Delano Roosevelt Park,17,3,Y,Non-fixed tables,Nearmap 2023,39.90005337414432,-75.17710989867469
16,Franklin Delano Roosevelt Park,21,3,Y, ,Nearmap 2023,39.9026076994476,-75.17569934597014
17,Fernhill Park,1,4,Y,Pavilion,Nearmap 2023,40.020323038772574,-75.16696200190141
18,Fernhill Park,2,4,Y,Picnic Pavilion,Nearmap 2023,40.01960428148805,-75.16899836999809
